Gene stable ID	NCBI gene (formerly Entrezgene) ID	HGNC symbol	Chromosome/scaffold name
ENSG00000273757	6063	RNVU1-2A	CHR_HSCHR1_4_CTG31
ENSG00000277650	3810	KIR2DS5	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000273661	3803	KIR2DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000277355	3805	KIR2DL4	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000277355	124900568	KIR2DL4	CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1
ENSG00000275047	3810	KIR2DS5	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000274807	3809	KIR2DS4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000274696	115653	KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000282469	64735	LINC00254	CHR_HSCHR16_4_CTG1
ENSG00000274271		LILRP1	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000275511	3812	KIR3DL2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000276333	64711	HS3ST6	CHR_HSCHR16_4_CTG1
ENSG00000274676	57292	KIR2DL5A	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000274676	124900569	KIR2DL5A	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000275237	3805	KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000275237	124900568	KIR2DL4	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000277078	3809	KIR2DS4	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000282650	254528	MEIOB	CHR_HSCHR16_4_CTG1
ENSG00000275659	3811	KIR3DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000263130			CHR_HSCHR1_1_CTG31
ENSG00000273575	3805	KIR2DL4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000273575	124900568	KIR2DL4	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000263163	11000	SLC27A3	CHR_HSCHR1_1_CTG31
ENSG00000282069	105371048	LINC02124	CHR_HSCHR16_4_CTG1
ENSG00000275407	3803	KIR2DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000274826	79166	LILRP2	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000278805	3802	KIR2DL1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000275699	3805	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000275699	124900568	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000277345	3809	KIR2DS4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000274324	3809	KIR2DS4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000276820	3802	KIR2DL1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000276423	3811	KIR3DL1	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000281738		LINC01839	CHR_HSCHR3_5_CTG2_1
ENSG00000274130			CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000276424	3812	KIR3DL2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000273526	3809	KIR2DS4	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000274193	3805	KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000274193	124900568	KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1
ENSG00000278306	3808	KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000278345			CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000276328	115653	KIR3DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000281250	105374250	LINC02054	CHR_HSCHR3_5_CTG2_1
ENSG00000278731	3803	KIR2DL2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000274782	3802	KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000275080	3802	KIR2DL1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000275433	115653	KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000275732	3805	KIR2DL4	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000275732	124900568	KIR2DL4	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1
ENSG00000277620	115653	KIR3DL3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000273738	2204	FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1
ENSG00000280830	55256	ADI1	CHR_HSCHR2_1_CTG1
ENSG00000274891	51112	TRAPPC12	CHR_HSCHR2_1_CTG1
ENSG00000274948	3811	KIR3DL1	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1
ENSG00000262647	283189	OR9G4	CHR_HG151_NOVEL_TEST
ENSG00000281107		OR5G3	CHR_HG151_NOVEL_TEST
ENSG00000262268		OR9G3P	CHR_HG151_NOVEL_TEST
ENSG00000281313		OR5G1P	CHR_HG151_NOVEL_TEST
ENSG00000281279		OR5G4P	CHR_HG151_NOVEL_TEST
ENSG00000275018			CHR_HSCHR20_1_CTG3
ENSG00000281777		OR9G2P	CHR_HG151_NOVEL_TEST
ENSG00000261958	390174	OR9G1	CHR_HG151_NOVEL_TEST
ENSG00000281683			CHR_HG151_NOVEL_TEST
ENSG00000278625	124905334		KI270744.1
ENSG00000262191	504191	OR9G9	CHR_HG151_NOVEL_TEST
ENSG00000277742		KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000274851		KIR2DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000281839	101927120	LINC02735	CHR_HG151_NOVEL_TEST
ENSG00000275938	3809	KIR2DS4	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000273688		KIR3DP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000262535		OR5G5P	CHR_HG151_NOVEL_TEST
ENSG00000277570		LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000290500			CHR_HG151_NOVEL_TEST
ENSG00000276306			CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000274955	3805	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000274955	124900568	KIR2DL4	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1
ENSG00000277317	3804	KIR2DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000280770			CHR_HSCHR2_1_CTG1
ENSG00000262994			CHR_HSCHR1_1_CTG31
ENSG00000277070		LILRP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000281723			CHR_HSCHR2_1_CTG1
ENSG00000276974			CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000269823			CHR_HSCHR1_1_CTG31
ENSG00000276676	3810	KIR2DS5	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000278325		LILRP1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000276930	115653	KIR3DL3	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1
ENSG00000262710			CHR_HSCHR1_1_CTG31
ENSG00000275289	79166	LILRP2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000262469			CHR_HSCHR1_1_CTG31
ENSG00000277616	3802	KIR2DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1
ENSG00000277376		KIR2DP1	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000276295			CHR_HSCHR1_1_CTG31
ENSG00000274163		KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000275531			CHR_HSCHR1_1_CTG31
ENSG00000274842	79166	LILRP2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000276258	100132285	KIR2DS2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000276258	124900575	KIR2DS2	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000273881		LILRP1	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000277940			CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000276086	115653	KIR3DL3	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1
ENSG00000275946	553128	KIR2DL5B	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000275946	124900574	KIR2DL5B	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000278369	3804	KIR2DL3	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1
ENSG00000274406	3809	KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000274189	3805	KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000274189	124900568	KIR2DL4	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1
ENSG00000277725	3803	KIR2DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000275276	3802	KIR2DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1
ENSG00000274722	3812	KIR3DL2	CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1
ENSG00000278051		KIR3DP1	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000278850	3812	KIR3DL2	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1
ENSG00000276197			GL000220.1
ENSG00000274917	100008587	RNA5-8SN5	GL000220.1
ENSG00000274917	124900510	RNA5-8SN5	GL000220.1
ENSG00000274917	124907114	RNA5-8SN5	GL000220.1
ENSG00000274917	124907115	RNA5-8SN5	GL000220.1
ENSG00000274917	124907116	RNA5-8SN5	GL000220.1
ENSG00000274917	124907117	RNA5-8SN5	GL000220.1
ENSG00000274917	124907118	RNA5-8SN5	GL000220.1
ENSG00000274917	124907119	RNA5-8SN5	GL000220.1
ENSG00000274917	124907120	RNA5-8SN5	GL000220.1
ENSG00000274917	124907121	RNA5-8SN5	GL000220.1
ENSG00000274917	124907122	RNA5-8SN5	GL000220.1
ENSG00000274917	124907123	RNA5-8SN5	GL000220.1
ENSG00000274917	124907124	RNA5-8SN5	GL000220.1
ENSG00000274917	124907125	RNA5-8SN5	GL000220.1
ENSG00000274917	124907126	RNA5-8SN5	GL000220.1
ENSG00000274917	124907127	RNA5-8SN5	GL000220.1
ENSG00000274917	124907128	RNA5-8SN5	GL000220.1
ENSG00000274917	124907129	RNA5-8SN5	GL000220.1
ENSG00000274917	124907130	RNA5-8SN5	GL000220.1
ENSG00000274917	124907131	RNA5-8SN5	GL000220.1
ENSG00000274917	124907132	RNA5-8SN5	GL000220.1
ENSG00000274917	124907133	RNA5-8SN5	GL000220.1
ENSG00000274917	124907134	RNA5-8SN5	GL000220.1
ENSG00000274917	124907135	RNA5-8SN5	GL000220.1
ENSG00000274917	124907136	RNA5-8SN5	GL000220.1
ENSG00000274917	124907137	RNA5-8SN5	GL000220.1
ENSG00000274917	124907138	RNA5-8SN5	GL000220.1
ENSG00000274917	124907139	RNA5-8SN5	GL000220.1
ENSG00000274917	124907140	RNA5-8SN5	GL000220.1
ENSG00000274917	124907141	RNA5-8SN5	GL000220.1
ENSG00000274917	124907142	RNA5-8SN5	GL000220.1
ENSG00000274917	124907143	RNA5-8SN5	GL000220.1
ENSG00000274917	124907144	RNA5-8SN5	GL000220.1
ENSG00000274917	124907145	RNA5-8SN5	GL000220.1
ENSG00000274917	124907146	RNA5-8SN5	GL000220.1
ENSG00000274917	124907147	RNA5-8SN5	GL000220.1
ENSG00000274917	124907148	RNA5-8SN5	GL000220.1
ENSG00000274917	124907149	RNA5-8SN5	GL000220.1
ENSG00000274917	124907150	RNA5-8SN5	GL000220.1
ENSG00000274917	124907151	RNA5-8SN5	GL000220.1
ENSG00000274917	124907152	RNA5-8SN5	GL000220.1
ENSG00000274917	124907153	RNA5-8SN5	GL000220.1
ENSG00000274917	124907154	RNA5-8SN5	GL000220.1
ENSG00000274917	124907155	RNA5-8SN5	GL000220.1
ENSG00000274917	124907160	RNA5-8SN5	GL000220.1
ENSG00000274917	124907172	RNA5-8SN5	GL000220.1
ENSG00000274917	124907183	RNA5-8SN5	GL000220.1
ENSG00000274917	124907194	RNA5-8SN5	GL000220.1
ENSG00000274917	124907205	RNA5-8SN5	GL000220.1
ENSG00000274917	124907216	RNA5-8SN5	GL000220.1
ENSG00000274917	124907227	RNA5-8SN5	GL000220.1
ENSG00000274917	124907238	RNA5-8SN5	GL000220.1
ENSG00000274917	124907248	RNA5-8SN5	GL000220.1
ENSG00000274917	124907258	RNA5-8SN5	GL000220.1
ENSG00000274917	124907269	RNA5-8SN5	GL000220.1
ENSG00000274917	124907280	RNA5-8SN5	GL000220.1
ENSG00000274917	124907291	RNA5-8SN5	GL000220.1
ENSG00000274917	124907302	RNA5-8SN5	GL000220.1
ENSG00000274917	124907313	RNA5-8SN5	GL000220.1
ENSG00000274917	124907324	RNA5-8SN5	GL000220.1
ENSG00000274917	124907327	RNA5-8SN5	GL000220.1
ENSG00000274917	124907328	RNA5-8SN5	GL000220.1
ENSG00000274917	124907329	RNA5-8SN5	GL000220.1
ENSG00000274917	124907330	RNA5-8SN5	GL000220.1
ENSG00000274917	124907331	RNA5-8SN5	GL000220.1
ENSG00000274917	124907332	RNA5-8SN5	GL000220.1
ENSG00000274917	124907333	RNA5-8SN5	GL000220.1
ENSG00000274917	124907334	RNA5-8SN5	GL000220.1
ENSG00000274917	124907335	RNA5-8SN5	GL000220.1
ENSG00000274917	124907336	RNA5-8SN5	GL000220.1
ENSG00000274917	124907337	RNA5-8SN5	GL000220.1
ENSG00000274917	124907338	RNA5-8SN5	GL000220.1
ENSG00000274917	124907339	RNA5-8SN5	GL000220.1
ENSG00000274917	124907340	RNA5-8SN5	GL000220.1
ENSG00000274917	124907341	RNA5-8SN5	GL000220.1
ENSG00000274917	124907342	RNA5-8SN5	GL000220.1
ENSG00000274917	124907343	RNA5-8SN5	GL000220.1
ENSG00000274917	124907439	RNA5-8SN5	GL000220.1
ENSG00000274917	124907440	RNA5-8SN5	GL000220.1
ENSG00000274917	124907450	RNA5-8SN5	GL000220.1
ENSG00000274917	124907458	RNA5-8SN5	GL000220.1
ENSG00000274917	124907467	RNA5-8SN5	GL000220.1
ENSG00000274917	124907475	RNA5-8SN5	GL000220.1
ENSG00000274917	124907476	RNA5-8SN5	GL000220.1
ENSG00000274917	124907477	RNA5-8SN5	GL000220.1
ENSG00000274917	124907478	RNA5-8SN5	GL000220.1
ENSG00000274917	124907479	RNA5-8SN5	GL000220.1
ENSG00000274917	124907480	RNA5-8SN5	GL000220.1
ENSG00000274917	124907481	RNA5-8SN5	GL000220.1
ENSG00000274917	124907482	RNA5-8SN5	GL000220.1
ENSG00000274917	124907483	RNA5-8SN5	GL000220.1
ENSG00000274917	124907484	RNA5-8SN5	GL000220.1
ENSG00000274917	124907572	RNA5-8SN5	GL000220.1
ENSG00000274917	124907573	RNA5-8SN5	GL000220.1
ENSG00000274917	124907574	RNA5-8SN5	GL000220.1
ENSG00000274917	124907575	RNA5-8SN5	GL000220.1
ENSG00000274917	124907576	RNA5-8SN5	GL000220.1
ENSG00000274917	124907577	RNA5-8SN5	GL000220.1
ENSG00000274917	124907578	RNA5-8SN5	GL000220.1
ENSG00000274917	124907579	RNA5-8SN5	GL000220.1
ENSG00000274917	124907580	RNA5-8SN5	GL000220.1
ENSG00000274917	124907581	RNA5-8SN5	GL000220.1
ENSG00000274917	124907584	RNA5-8SN5	GL000220.1
ENSG00000274917	124907585	RNA5-8SN5	GL000220.1
ENSG00000274917	124907586	RNA5-8SN5	GL000220.1
ENSG00000274917	124907587	RNA5-8SN5	GL000220.1
ENSG00000274917	124907588	RNA5-8SN5	GL000220.1
ENSG00000274917	124907589	RNA5-8SN5	GL000220.1
ENSG00000274917	124907590	RNA5-8SN5	GL000220.1
ENSG00000274917	124907591	RNA5-8SN5	GL000220.1
ENSG00000274917	124907592	RNA5-8SN5	GL000220.1
ENSG00000274917	124907593	RNA5-8SN5	GL000220.1
ENSG00000274917	124907594	RNA5-8SN5	GL000220.1
ENSG00000274917	124907595	RNA5-8SN5	GL000220.1
ENSG00000274917	124907596	RNA5-8SN5	GL000220.1
ENSG00000274917	124907597	RNA5-8SN5	GL000220.1
ENSG00000274917	124907598	RNA5-8SN5	GL000220.1
ENSG00000274917	124907600	RNA5-8SN5	GL000220.1
ENSG00000274917	124907611	RNA5-8SN5	GL000220.1
ENSG00000274917	124907622	RNA5-8SN5	GL000220.1
ENSG00000274917	124907633	RNA5-8SN5	GL000220.1
ENSG00000274917	124907644	RNA5-8SN5	GL000220.1
ENSG00000274917	124907655	RNA5-8SN5	GL000220.1
ENSG00000274917	124907662	RNA5-8SN5	GL000220.1
ENSG00000274917	124907673	RNA5-8SN5	GL000220.1
ENSG00000274917	124907684	RNA5-8SN5	GL000220.1
ENSG00000274917	124907694	RNA5-8SN5	GL000220.1
ENSG00000274917	124907705	RNA5-8SN5	GL000220.1
ENSG00000274917	124907709	RNA5-8SN5	GL000220.1
ENSG00000274917	124907710	RNA5-8SN5	GL000220.1
ENSG00000274917	124907711	RNA5-8SN5	GL000220.1
ENSG00000274917	124907712	RNA5-8SN5	GL000220.1
ENSG00000274917	124907713	RNA5-8SN5	GL000220.1
ENSG00000274917	124907714	RNA5-8SN5	GL000220.1
ENSG00000274917	124907715	RNA5-8SN5	GL000220.1
ENSG00000274917	124907716	RNA5-8SN5	GL000220.1
ENSG00000274917	124907717	RNA5-8SN5	GL000220.1
ENSG00000274917	124907718	RNA5-8SN5	GL000220.1
ENSG00000274917	124907719	RNA5-8SN5	GL000220.1
ENSG00000274917	124907720	RNA5-8SN5	GL000220.1
ENSG00000274917	124907721	RNA5-8SN5	GL000220.1
ENSG00000274917	124908237	RNA5-8SN5	GL000220.1
ENSG00000274917	124908238	RNA5-8SN5	GL000220.1
ENSG00000274917	124908239	RNA5-8SN5	GL000220.1
ENSG00000274917	124908240	RNA5-8SN5	GL000220.1
ENSG00000274917	124908241	RNA5-8SN5	GL000220.1
ENSG00000274917	124908242	RNA5-8SN5	GL000220.1
ENSG00000274917	124908243	RNA5-8SN5	GL000220.1
ENSG00000274917	124908244	RNA5-8SN5	GL000220.1
ENSG00000274917	124908245	RNA5-8SN5	GL000220.1
ENSG00000274917	124908246	RNA5-8SN5	GL000220.1
ENSG00000274917	124908247	RNA5-8SN5	GL000220.1
ENSG00000274917	124908248	RNA5-8SN5	GL000220.1
ENSG00000274917	124908249	RNA5-8SN5	GL000220.1
ENSG00000274917	124908254	RNA5-8SN5	GL000220.1
ENSG00000274917	124908257	RNA5-8SN5	GL000220.1
ENSG00000274917	124908268	RNA5-8SN5	GL000220.1
ENSG00000274917	124908278	RNA5-8SN5	GL000220.1
ENSG00000274917	124908289	RNA5-8SN5	GL000220.1
ENSG00000274917	124908300	RNA5-8SN5	GL000220.1
ENSG00000274917	124908310	RNA5-8SN5	GL000220.1
ENSG00000274917	124908316	RNA5-8SN5	GL000220.1
ENSG00000274917	124908327	RNA5-8SN5	GL000220.1
ENSG00000274917	124908336	RNA5-8SN5	GL000220.1
ENSG00000274917	124908347	RNA5-8SN5	GL000220.1
ENSG00000274917	124908358	RNA5-8SN5	GL000220.1
ENSG00000274917	124908368	RNA5-8SN5	GL000220.1
ENSG00000274917	124908369	RNA5-8SN5	GL000220.1
ENSG00000274917	124908370	RNA5-8SN5	GL000220.1
ENSG00000274917	124908371	RNA5-8SN5	GL000220.1
ENSG00000274917	124908372	RNA5-8SN5	GL000220.1
ENSG00000274917	124908373	RNA5-8SN5	GL000220.1
